Summary,Issue Type,Description,Acceptance Criteria,Component,Priority,Depends On,Source
Level 1 playtest defects,Epic,Defects recorded in the 2026-09-14 Level 1 playtest (progress/2026-09-14-level1-playtest.md) that block a clean Ugat Level 1.,- All child tasks are closed,Epic,Medium,none,15-levels-and-content-coverage.md · LVL-01
Level 1 enemy introduction lesson,Epic,Land the eight-beat enemy lesson from feature/level1-enemy-introduction-lesson and retire the systems it replaces.,- All child tasks are closed,Epic,Medium,none,08-enemies.md · ENM-29
Final-syllable restoration step,Epic,Wire LevelConfigSO.finalRestorationValue into a real trace-and-place step so a level cannot complete without it.,- All child tasks are closed,Epic,Medium,none,10-restoration-and-challenges.md · REST-21
Ugat Level 5 era paragraph,Epic,Author the era paragraph ruling Q4 requires on the fifth Ugat level and bind it to the existing flow segments.,- All child tasks are closed,Epic,Medium,none,10-restoration-and-challenges.md · REST-24
Ugnayan era content (Levels 6-10),Epic,"Author the narrative, challenge and reward content that lets Ugnayan Levels 1-5 complete instead of hitting the content-missing guard.",- All child tasks are closed,Epic,Medium,none,15-levels-and-content-coverage.md · LVL-06
Pamana era content (Levels 11-15),Epic,"Author the narrative, challenge and reward content for Pamana Levels 1-5, including Level 13's RA introduction.",- All child tasks are closed,Epic,Medium,none,15-levels-and-content-coverage.md · LVL-11; 15-levels-and-content-coverage.md · LVL-13; 15-levels-and-content-coverage.md · LVL-15
Paglimot boss encounter (Level 15),Epic,"Build the ruled Level 15 finale: a three-phase Paglimot boss with one paragraph line restored per phase, ending on YA into MALAYA.",- All child tasks are closed,Epic,Medium,none,09-boss-paglimot.md (all outstanding BOSS stories)
Corrupted enemy data model,Epic,"Retire the colonial era enum, add the lore fields the Codex and discovery card need, and clean the enemy registry.",- All child tasks are closed,Epic,Medium,none,08-enemies.md · ENM-32; 08-enemies.md · ENM-33; 08-enemies.md · ENM-34
"Badge, level-number and memory art",Epic,"Art batches the backlog records as missing: glyph badges, Almanac portraits, level-number scrolls, memory cards.",- All child tasks are closed,Epic,Medium,none,05-baybayin-learning.md · LEARN-14; 02-journey-map-and-level-entry.md · MAP-04; 11-results-rewards-and-progression.md · MEM-06
Level Preview screen,Epic,The pre-level preview SALIN-243 was closed for without implementation.,- All child tasks are closed,Epic,Medium,none,02-journey-map-and-level-entry.md · MAP-12
Focus-word preview upgrade,Epic,"Turn the single text block into the spec's word cards with images, tap-to-hear and inspection gating.",- All child tasks are closed,Epic,Medium,none,05-baybayin-learning.md · LEARN-14; 05-baybayin-learning.md · LEARN-15
Codex upgrade and free practice,Epic,Fold free practice into the Codex per ruling D-005 and add the symbol detail the spec asks for.,- All child tasks are closed,Epic,Medium,none,05-baybayin-learning.md · CODEX-06; 05-baybayin-learning.md · PRAC-08
Mid-level checkpoints and Save and Exit,Epic,Persist the paused-run snapshot per ruling OQ-3 so a player can leave mid-level and resume.,- All child tasks are closed,Epic,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-09
Wave restart and defeat recovery,Epic,Give the pause and defeat screens the checkpoint-aware controls SALIN-236/237 were closed for.,- All child tasks are closed,Epic,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-05; 12-pause-fail-retry-and-edge-cases.md · FAIL-07; 12-pause-fail-retry-and-edge-cases.md · FAIL-07; 12-pause-fail-retry-and-edge-cases.md · FAIL-12; 12-pause-fail-retry-and-edge-cases.md · FAIL-15
Heart-loss breach beat,Epic,The freeze / show-missed-clue / re-queue beat SALIN-238 was closed for without implementation.,- All child tasks are closed,Epic,Medium,none,07-combat-and-defense.md · CMB-26
Campaign ending sequence,Epic,Ending cutscene and campaign-complete state after Pamana Level 5.,- All child tasks are closed,Epic,Medium,none,03-story-and-dialogue.md · STORY-13
Accessibility and settings,Epic,The settings backlog SALIN-262..265 and SALIN-269 describe; all currently absent from SettingsPanel.,- All child tasks are closed,Epic,Medium,none,14-accessibility-and-settings.md (all outstanding ACC stories)
Fix Juan not rendering in the Level 1 play column,Task,"The 2026-09-14 playtest saw no protagonist during dialogue, Wave 1 or Wave 2 although ProtagonistManager is present. _slashVfxPrefab has since been assigned (7395d66a) so the VFX warning is gone, and c3cf9612 chose to lower the camera rather than crop the viewport specifically so Juan, who stands below the fence, is not cut off. Neither change has been confirmed in play: the original defect is still unverified either way.","- Playing Level 1 in the Editor Simulator view, Juan's idle sprite is visible in the play column during the intro dialogue, Wave 1 and Wave 2
- No ProtagonistManager or ProtagonistAttackController warning appears in Editor.log during the run
- A Wave 1 screenshot showing Juan is saved under progress/",Level 1 playtest defects,High,none,07-combat-and-defense.md · CMB-19
Enlarge the in-combat tutorial text to the dialogue body size,Task,The 'DRAW THE GLOWING SYMBOL TO DEFEND' overlay is unreadable at phone size (playtest defect 6).,"- The in-combat tutorial TMP text uses a font size greater than or equal to the DialogueController body font size
- A 360x640 Wave 1 screenshot with the text visible is saved under progress/",Level 1 playtest defects,High,none,13-hud-audio-and-feedback.md · HUD-11
Sequence wave-start overlays so only one interactive panel is open at a time,Task,"At wave start the wave banner, tutorial overlay, glyph badge and discovery card all appeared together (playtest defect 9). Three of the four contributors have since been addressed: 8debc76a cut the miss message and two backing overlays, f41fc858 stopped the discovery overlay pausing and spotlighting on introduction spawns, and the introduction beat now adopts the scene’s spotlight overlay instead of creating a second one. What remains is the wave banner and the tutorial overlay still opening in the same frame.","- At Wave 1 start no more than one overlay containing a Button is active in the Hierarchy on any frame
- The wave banner and the tutorial overlay each close or time out before the next opens
- Re-checked in play, not only in the Hierarchy",Level 1 playtest defects,High,none,13-hud-audio-and-feedback.md · HUD-11
Style the symbol card Listen control to match the Continue button,Task,Listen is a default flat-blue Unity button stacked against the gold pixel-art Continue (playtest defect 5).,"- Listen uses the same button sprite, font asset and font size as Continue on the symbol learning card
- The vertical gap between Listen and Continue equals the gap between Level Select buttons within 2 px",Level 1 playtest defects,Medium,none,14-accessibility-and-settings.md · ACC-19
Fix discovery card body text truncation,Task,The Hati discovery card cuts its text mid-word with overlap on the right edge (playtest defect 8).,"- Every one of the 18 corruption enemies' description strings renders in the discovery card with TMP_Text.isTextOverflowing false (EditMode test)
- The Hati card renders its full description at 360x640 with no overlap",Level 1 playtest defects,High,none,08-enemies.md · ENM-33
Replace the Level Select avatar with the new Juan art,Task,Level Select still shows the old pixel protagonist (playtest defect 12).,"- The avatar Image on LevelSelect.unity references a sprite from the Juan package landed in f35de96d
- The old protagonist sprite GUID has no remaining references in LevelSelect.unity",Level 1 playtest defects,Low,none,08-enemies.md · ENM-10
Regenerate the tiled sprite that triggers the Full Rect warning,Task,'Sprite Tiling might not appear correctly because the Sprite used is not generated with Full Rect' logs on every scene load (playtest defect 13).,- The warning no longer appears in Editor.log on any scene load,Level 1 playtest defects,Low,none,COVERAGE.md · FX-06
"Play Level 1 end to end and record the Victory, Retry and Defeat outcomes",Task,"The playtest stopped at Wave 2; Victory, Retry and Defeat were never reached.","- A report under progress/ records reaching the Results screen from a fresh journey, with a screenshot
- The report records the Retry path from the defeat overlay and the defeat overlay itself, each with a screenshot
- The report records pronunciation audibility on device as heard or not heard for each Level 1 symbol",Level 1 playtest defects,High,Fix Juan not rendering in the Level 1 play column; Assign _slashVfxPrefab on the ProtagonistManager prefab,15-levels-and-content-coverage.md · LVL-01
Play Level 2 first-time entry and record the level with no onboarding sequence,Task,"SALIN-241’s manual check was never run, and the thing it was written to check is gone: 8131a6b8 cleared Level2_Config.onboardingSequence, so Level 2 now matches Levels 3-5 and carries no onboarding at all. The MassClearTeach beat taught a mechanic (multiKillChainEnabled) that is 0 on every Ugat level. What needs recording is that the level opens straight into play with no orphaned beat, and that the retuned spawn pacing lands.","- A report under progress/ records Level 2 first entry opening straight into play with no onboarding overlay
- The report records the level’s wall-clock length against the ~85 s it was authored for
- The report records A, E/I and NA (Level 1 symbols, off-target filler) appearing on screen during Level 2",Level 1 playtest defects,Medium,none,04-level-flow.md · FLOW-18
Play Ugat Level 5 end to end and record segment and armour behaviour,Task,SALIN-283's manual gate was never run.,"- A report under progress/ records the order wave group 1, restoration, wave group 2
- The report records Walang-Awa surviving two correct draws and dying on the third
- The report records reaching the Results screen",Level 1 playtest defects,High,Bind Level 5's flow segments to the paragraph units,15-levels-and-content-coverage.md · LVL-05
Normalize main-menu button spacing and clear the home-indicator zone,Task,Button gaps run 53/107/54/55/44/36/33 px and SANDBOX sits in the gesture zone (playtest defect 10).,"- All vertical gaps between adjacent main-menu buttons are equal within 2 px
- No button rect intersects the bottom 34 px of the safe area on the iPhone 12 Pro Max simulator",Main Menu,Low,none,01-app-entry-and-main-menu.md · MM-22
Decide the enemy discovery overlay’s remaining scope,Task,"The deletion ruling rested on both being dead code. That premise is false and was corrected by eea01436: EnemyDiscoveryOnboardingController is live in Gameplay.unity and Level_01_Tutorial.unity and is the sole writer of EnemyDiscoveryProgress, which the Almanac reads. The conflict it caused — its EnterDialoguePause firing on the same spawn as EnemyIntroductionBeat, which promises live input — is already fixed by f41fc858, which keeps the discovery record and skips the pause, spotlight and panel on introduction spawns. What is left is a decision, not a deletion: whether the overlay’s panel path still has a job on non-introduction spawns, or whether its data write should move to EnemyIntroductionBeat so the controller can go.","- A ruling is recorded naming which system owns the EnemyDiscoveryProgress write
- If the overlay is retired, EnemyDiscoveryProgress still gains an entry for every enemy the player meets and the Almanac still unlocks
- EnemyDiscoveryOverlaySceneTests is updated or removed to match the ruling
- EditMode suite passes",Level 1 enemy introduction lesson,Medium,Merge feature/level1-enemy-introduction-lesson into dev,08-enemies.md · ENM-29
Play a fresh Level 1 and record the eight-beat Iligaw lesson,Task,The lesson is on dev but has never been observed in play. It moved from Abo ng Simula to Iligaw in d66d4db4 — a mirror decoy reads cold where Abo’s ash only registers against an already-restored clue. Level1_Config.enemyLessons references IligawLesson.asset; AboLesson.asset stays on disk unreferenced.,"- A report under progress/ records the eight beats Appear, Ability, React, Generalize, Name, Explain, Glyph, Draw in that order, each with a screenshot
- The report records the mirror copy appearing in the Ability beat and the clue returning after the Draw beat
- The report records beat 2 taking about 2.2 s from split to card, not the 9.46 s it took before d4f98b0a",Level 1 enemy introduction lesson,High,Delete the SoloTeachBeat teach loop,08-enemies.md · ENM-29
Verify each Level 1 taught-glyph enemy is introduced on its first spawn,Task,"The SoloTeachBeat override that suppressed these introductions is gone (f2c7fe60), and 5779ae84 closed the second cause: the beat refused claims for the whole residue-banner lifetime while the spawn schedule had already resumed, so the first type arriving in that window got no card at all. Both fixes are code-verified and neither has been seen in play.","- A report under progress/ records an introduction card for each of Level 1's four enemy types on first spawn
- EnemyIntroductionProgress marks all four as introduced after the run",Level 1 enemy introduction lesson,High,Delete the SoloTeachBeat teach loop,08-enemies.md · ENM-29
Append a final-syllable GuidedTracing unit bound to finalRestorationValue to every restoration,Task,finalRestorationValue is authored on every level but has no runtime reader. Add a trailing GuidedTracing unit that targets it and cannot be bypassed.,"- After the last authored challenge unit, ChallengeFlowController presents a GuidedTracing unit whose target character is LevelConfigSO.finalRestorationValue
- The unit shows the final focus word with its last slot empty
- ContextChallenge does not report complete until the unit succeeds; no hint, timeout or exit completes it
- On Level 1 the unit targets Char_MA",Final-syllable restoration step,High,none,10-restoration-and-challenges.md · REST-21
Reject any glyph other than finalRestorationValue in the final unit,Task,The final step validates the exact symbol.,"- Tracing NA in Level 1's final unit is rejected with the wrong-glyph feedback and the slot stays empty
- Tracing MA completes the unit
- An EditMode test covers both cases",Final-syllable restoration step,High,Append a final-syllable GuidedTracing unit bound to finalRestorationValue to every restoration,COVERAGE.md · REST-22
Derive finalSyllableRestored from the final unit result,Task,LevelObjectiveFlagResolver hard-codes finalSyllableRestored = true with a TODO(SALIN-229).,"- The hard-coded true and the TODO(SALIN-229) comment are removed
- finalSyllableRestored is true only when the final unit completed in the attempt
- Forcing the flag false through the Editor fault menu keeps the next level locked and the lock notice names the final syllable",Final-syllable restoration step,High,Append a final-syllable GuidedTracing unit bound to finalRestorationValue to every restoration,02-journey-map-and-level-entry.md · MAP-09
Author the Ugat era paragraph units for Challenge_Ugat05_Context,Task,Ruling Q4 requires the era paragraph on Level 5 in addition to IBA and MANA. Source text: docs/content/ugat-levels-2-5-narrative.md.,"- Challenge_Ugat05_Context contains one ParagraphRestoration ChallengeUnit per paragraph line, each with checkpointOnSuccess true
- Earlier Ugat words appear as review blanks; IBA and MANA are the taught slots
- Restorable tokens are root words; affixes and reduplication are fixed text
- Salinlahi > Campaign > Validate reports no error for Level 5",Ugat Level 5 era paragraph,High,none,10-restoration-and-challenges.md · REST-24
Bind Level 5's flow segments to the paragraph units,Task,Level5_Config already has two flowSegments; point each at its paragraph line.,"- Each Level5_Config.flowSegments entry names a paragraph unit id in challengeUnitIds
- In Play Mode, clearing wave group 1 opens paragraph line 1 and a correct line resumes wave group 2",Ugat Level 5 era paragraph,High,Author the Ugat era paragraph units for Challenge_Ugat05_Context,04-level-flow.md · FLOW-08
Show the Skip control during cutscenes,Task,SkipCutscene() exists but its only caller is a button whose root is force-hidden.,"- _skipButtonRoot is active while a cutscene plays
- Tapping it calls SkipCutscene() and the level flow continues
- HideLegacySkipButton() is no longer called from OnEnable or before play",Cutscenes,Medium,none,03-story-and-dialogue.md · STORY-02
Persist a prologue-viewed flag in the campaign save,Task,"No viewed flag exists, so only a full reset restores the prologue.","- CampaignSaveDocument carries a prologueViewed boolean, set true when Level1_Opening completes or is skipped
- CurrentSaveSchemaVersion is incremented and CampaignSaveMigrator defaults the flag to false for older saves
- Journey reset clears the flag",Persistence,Medium,none,03-story-and-dialogue.md · STORY-02
Skip the prologue when the viewed flag is set,Task,Second launch should go straight to the level.,"- On a journey with prologueViewed true, starting Level 1 does not play Level1_Opening
- After Reset Journey the prologue plays again",Cutscenes,Medium,Persist a prologue-viewed flag in the campaign save,03-story-and-dialogue.md · STORY-02
Record and assign a Voice_U pronunciation clip for value.u,Task,Char_OU.value.u is the only unassigned pronunciationClip; no Voice_U clip exists.,"- Assets/Audio/Pronunciation/Voice/Voice_U.mp3 exists
- Char_OU's value.u pronunciationClip references it
- grep for 'pronunciationClip: {fileID: 0}' across Char_*.asset returns nothing",Audio,High,none,05-baybayin-learning.md · LEARN-06
Verify pronunciation clip playback on device for all 18 symbols,Task,Playback has never been heard; the playtest pressed Listen without audible output.,"- A report under progress/ lists each of the 18 symbols as heard or not heard from a device build
- Any silent symbol is filed as a defect ticket",Audio,High,Record and assign a Voice_U pronunciation clip for value.u,05-baybayin-learning.md · LEARN-06
Run a recognizer evaluation separating RA from DA and record the confusion rate,Task,The team confirmed RA/DA separation without measuring it (OI-5).,"- An evaluation over RA_template_01..05 and the DA templates is run and its output saved under progress/
- The report states the RA-classified-as-DA and DA-classified-as-RA counts",Recognition,Medium,none,06-drawing-and-recognition.md · DRAW-16
Animate glyph stroke order on the symbol learning card,Task,SALIN-246 was closed with no animation; the card only replays audio.,"- When a card becomes active it plays the recorded template strokes in order via TutorialAssistAnimator
- An EditMode test asserts the animated stroke count equals the template stroke count for all 18 characters",Learning,Medium,none,05-baybayin-learning.md · LEARN-07
Add a Replay Stroke control to the symbol learning card,Task,Spec pairs Replay Stroke with Replay Sound.,"- A Replay Stroke button restarts the stroke animation
- The button uses the same style as the Continue button",Learning,Medium,Animate glyph stroke order on the symbol learning card,05-baybayin-learning.md · LEARN-07
Add a replay control to audio-only active clues,Task,An audio-only clue offers no way to hear it again.,"- When the active clue channel is SpokenAudio, a replay button is visible on the clue presenter
- Tapping it replays the clue's clip; the button is hidden when the clip is null",Combat,Medium,none,07-combat-and-defense.md · CMB-13
