"Issue Id","Summary","Description","Issue Type","Priority","Labels","Phase","Blocked By 1","Blocked By 2","Blocked By 3"
"T01","T01 Record the six blocking spec rulings","Decide and record Q1 (final syllable YA or PA), Q2 (18 or 20 spoken values), Q3 (Level 1 final MA), Q4 (era paragraph or two words), Q5 (Levels 5/10 boss or waves), Q12 (wire revised save now). Output: docs/design/spec-rulings-2026-09.md plus corrected workbook cells. Covers UF-37, BTN-FINAL, Character Mastery, Completion Rules, Level Flow L1/L5/L10/L15. See docs/audit/AUDIT.md section 5.1.","Task","Highest","audit spec demo-required","A - Data and foundation","","",""
"T02","T02 Correct Level 1 final restoration value to MA","Level1_Config.finalRestorationValue is NA; spec and matrix say MA completes AMA. Edit Assets/ScriptableObjects/Levels/Level1_Config.asset (and CampaignLevelDataTool if generated). Acceptance: Inspector shows Char_MA/value.ma; RevisedCampaignAssetTests pass. Covers Level Flow L1, Completion Rules Last syllable.","Bug","Highest","audit data demo-required","A - Data and foundation","T01","",""
"T03","T03 Downgrade missing context media from Error to Warning in the campaign validator","Plan review R1/R2: split validator issues into identity errors (manifest, era/level/symbol ids and counts, order, DA/RA rule) that always block, and content-completeness issues (media, focus words, requirements, pools, rosters, final value, challenge sequence, reward ids) that are Warnings until a strict-mode switch (release profile) turns them into Errors at content-complete. Without this, Level 13 (empty content) blocks T07 behind the RA split. CampaignConfigValidator.ValidateMedia (lines 788-812) emits Error for null contextImage/narrationClip on every level, and CampaignSaveService refuses the campaign on any Error. Change to Warning, update RevisedCampaignAssetTests deferred-media exclusion, show warnings in CampaignConfigValidationMenu. Acceptance: Editor validate reports zero errors for Levels 1-5. Covers UF-01, Global Safe Saving, Audio Clues.","Task","Highest","audit save demo-required","A - Data and foundation","T01","",""
"T04","T04 Make Levels 6-15 combat rosters equal their cumulative pools","allowedCharacters on Levels 6-9 include untaught KA/HA/LA/NGA/PA/SA; Level 10 is [A]; Level 15 is [NGA]. Fix Level6-15_Config.asset so validator reports zero COMBAT_ROSTER_INVALID / CUMULATIVE_POOL_INVALID. Acceptance: Level 6 never asks a glyph outside A, E/I, BA, MA, NA, TA, GA, WA. Covers Game Overview Old syllables, Core Mechanics 6.0, Level Flow L6-L15.","Bug","High","audit data demo-required","A - Data and foundation","","",""
"T05","T05 Promote RA to a full 18th character","Team ruling Q2 (2026-09-11): 18 characters, DA and RA separate. Code models 17 symbols with symbol.dara carrying two values and folds recognizer RA into DA. Update ContentIdentity symbol/value counts, CampaignConfigValidator symbol count and DARA rule, remove the BaybayinIdCanonicalizer RA fold, give Char_RA a stableId/value/firstIntroductionLevelId, add it to CampaignConfig symbols, fix Level 11/13 decompositions, correct the content matrix. Acceptance: validator passes with 18 symbols; Almanac shows Learned n/18; Dojo reports RA for an RA trace; HARAYA = HA RA YA with Char_RA. Covers Game Overview Character set, Character Mastery DA/RA, UF-40. Plan review R8/R9: RA introduction level is Level 13 / level.pamana.03 (ruling R8, 2026-09-11); Level 11 stays DA-only. Insert symbol.ra before symbol.pa in RevisedSymbolIds because the last id is treated as the finale symbol. Per ruling Q1 also change RevisedFinaleSymbolId/SpokenValueId and ValidateFinalRestoration (CampaignConfigValidator.cs:652-661) from PA to YA and set Level15 finalRestorationValue to YA; keep ValidatePaInstructionOrder. Update ApprovedWorkbookSha256 and manifest.sourceWorkbookSha256 when the matrix workbook is corrected to 18.","Task","High","audit data demo-required","A - Data and foundation","T01","",""
"T06","T06 Rename levels to spec titles and switch to era stage backgrounds","Level names are legacy colonial titles; eraTheme uses EraTheme_Spanish/Japanese/American although StageBackground_Ugat/Ugnayan/Pamana exist; Levels 11-15 chapterNumber=1. Update all 15 Level*_Config.asset. Acceptance: Level 1 logs Applied theme Ugat; lock notice names Ang Unang Tinig. Covers Level Flow Level Title, UF-09, UF-10.","Task","Medium","audit data demo-required","A - Data and foundation","","",""
"T07","T07 Wire the revised campaign into SaveManager and boot in RevisedReady","SaveManager._campaign is {fileID: 0} in Bootstrap.unity:423 and [Manager] SaveManager.prefab:47; no asset references CampaignConfig_RevisedV1, so atomic save, mastery, rewards and Reset Journey are dead at runtime. Assign the campaign. Acceptance: fresh install shows Start Journey; completing Level 1 writes campaign-save.json with level.ugat.02 unlocked; Settings shows Reset Journey; corrupted save shows Journey Save Recovered and Level 1 is playable. Covers UF-01/02/03/07, Global Safe Saving, Locked Content. Ruling 2026-09-11: existing PlayerPrefs progress is archived and a fresh journey starts with the migration notice; no carry-over.","Story","Highest","audit save demo-required","A - Data and foundation","T02","T03","T04"
"T08","T08 Persist per-objective completion flags and gate unlock on them","Save records only completed/unlocked/stars. Add storyViewed, symbolsPracticed, wordsRestored, contextPassed, finalSyllableRestored to LevelProgressRecord and CampaignProgressOutcome; require them in CampaignOutcomeCoordinator.ApplyLevelProgression/VerifyPublishedOutcome. Acceptance: Level 1 completion writes all flags true; forcing one false keeps Level 2 locked with the missing objective named. Covers Completion Rules, Global Locked Content, Final Syllable Rule, UF-27, UF-30.","Story","Highest","audit save demo-required","A - Data and foundation","T07","",""
"T09","T09 Author spoken values and labels per the Q2 ruling","E/I and O/U have one spoken value each; value.ra reuses DA.wav; FocusWordPreviewController and ActiveCluePresenter use symbol.syllable instead of SpokenValueResolver.ResolveLabel. Update Char_EI/OU/DA assets, validator value count, ContentIdentity, and both UI label paths. Acceptance: Level 9 preview reads O·O and U·NA; Level 11 DALA card says da. Covers Character Mastery E/I O/U DA/RA, Global Audio Clues, Level Flow L9/L11/L13.","Story","High","audit data language demo-required","A - Data and foundation","T01","",""
"T10","T10 Apply challenge tiers 1-5 to level data","ChallengeTierPolicy.ForTier encodes the spec difficulty pattern (supportive retries 1-2, heart penalties 3-5, emergency hint with 10% penalty at 5, combo powers by tier) but only Level 1 sets a tier. Set challengePolicy.tier = era-local order on all 15 Level*_Config.asset. Acceptance: Level 3 three wrong placements cost a heart; Level 5 hint works once then refuses and score drops 10. Covers Core Mechanics Level Difficulty Pattern, UF-19, UF-25.","Task","High","audit data demo-required","A - Data and foundation","T01","",""
