Summary,Issue Type,Epic Name,Parent,Description,Acceptance Criteria,Stage,Story ID,Priority,Labels,Source
Stage 1 — Launching the game,Epic,Stage 1 — Launching the game,,"Stage 1 of the player journey (US-001–US-005, 5 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Launching the game,,Medium,player-journey stage-01,PLAYER-JOURNEY.md · Stage 1
Reach the menu without doing anything,Story,,Stage 1 — Launching the game,"As a player, I want the game to load straight to the main menu, so that I can start playing without any setup.","- The app reaches the main menu with no player input.
- No unlit or half-loaded scene is visible at any point.",Launching the game,US-001,Medium,player-journey stage-01,PLAYER-JOURNEY.md · US-001
Play in portrait with one hand,Story,,Stage 1 — Launching the game,"As a player, I want to hold the phone in portrait and reach everything with one thumb, so that I can play comfortably anywhere.","- The screen orientation is locked to portrait.
- Every interactive control sits inside the device safe area.",Launching the game,US-002,Medium,player-journey stage-01,PLAYER-JOURNEY.md · US-002
Play the same game on any screen,Story,,Stage 1 — Launching the game,"As a player, I want the play area to be the same shape on every device, so that how hard the game is does not depend on which phone I own.","- The play area keeps the same proportions on a phone and on a tablet.
- A larger screen shows the same field of play, not more of it.",Launching the game,US-003,Medium,player-journey stage-01,PLAYER-JOURNEY.md · US-003
Play with no internet,Story,,Stage 1 — Launching the game,"As a player, I want the whole game to work offline, so that I can play anywhere and my data stays on my device.","- Every screen and every level works with the network disabled.
- No save data leaves the device.",Launching the game,US-004,Medium,player-journey stage-01,PLAYER-JOURNEY.md · US-004
Hear the menu,Story,,Stage 1 — Launching the game,"As a player, I want music on the menu and a sound when I press a button, so that the game feels alive before I start.","- A looping music track plays on the main menu.
- Every menu button plays a click sound when pressed.",Launching the game,US-005,Medium,player-journey stage-01,PLAYER-JOURNEY.md · US-005
Stage 2 — Starting or resuming a journey,Epic,Stage 2 — Starting or resuming a journey,,"Stage 2 of the player journey (US-006–US-010, 5 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Starting or resuming a journey,,Medium,player-journey stage-02,PLAYER-JOURNEY.md · Stage 2
Start a brand-new journey,Story,,Stage 2 — Starting or resuming a journey,"As a first-time player, I want the menu to invite me to begin, so that I know there is nothing to resume.","- With no level completed, the primary button reads ""Start Journey"".
- Pressing it leads to the prologue, then to Era 1 Level 1.",Starting or resuming a journey,US-006,Medium,player-journey stage-02,PLAYER-JOURNEY.md · US-006
Continue where I left off,Story,,Stage 2 — Starting or resuming a journey,"As a returning player, I want one button that takes me back to where I stopped, so that I never have to find my place.","- With a journey in progress, the primary button reads ""Continue"".
- Continue leads to the next level I have not completed.",Starting or resuming a journey,US-007,Medium,player-journey stage-02,PLAYER-JOURNEY.md · US-007
See how far I have come,Story,,Stage 2 — Starting or resuming a journey,"As a player, I want the menu to show my progress, so that the journey feels like it is accumulating.","- The menu shows my current era and level, e.g. ""Ugat · Level 3"".
- The line is never expressed as a global level number.",Starting or resuming a journey,US-008,Medium,player-journey stage-02,PLAYER-JOURNEY.md · US-008
