Jira Key,Issue Id,Summary,Description,Issue Type,Priority,Labels,Parent,Sprint,Phase,Blocked By 1,Blocked By 2,Blocked By 3,Relates 1,Relates 2,Relates 3,Blocks Existing,Assignee
SALIN-213,T01,[T01] Record the six blocking spec rulings,"Decide and record Q1 (final syllable YA or PA), Q2 (18 or 20 spoken values), Q3 (Level 1 final MA), Q4 (era paragraph or two words), Q5 (Levels 5/10 boss or waves), Q12 (wire revised save now). Output: docs/design/spec-rulings-2026-09.md plus corrected workbook cells. Covers UF-37, BTN-FINAL, Character Mastery, Completion Rules, Level Flow L1/L5/L10/L15. See docs/audit/AUDIT.md section 5.1.

Audit id: T01. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-212 (Done), SALIN-188 (IP), SALIN-166 (Done).",Task,Highest,spec demo-required audit-2026-09 revised-backlog phase-a,SALIN-127,SALIN Sprint 8,A - Data and foundation,,,,SALIN-212,SALIN-188,,,Jeff Andre Millan
SALIN-214,T02,[T02] Correct Level 1 final restoration value to MA,"Level1_Config.finalRestorationValue is NA; spec and matrix say MA completes AMA. Edit Assets/ScriptableObjects/Levels/Level1_Config.asset (and CampaignLevelDataTool if generated). Acceptance: Inspector shows Char_MA/value.ma; RevisedCampaignAssetTests pass. Covers Level Flow L1, Completion Rules Last syllable.

Audit id: T02. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-198 (Done: 'final syllable match the approved matrix').",Bug,Highest,data demo-required audit-2026-09 revised-backlog phase-a,SALIN-128,SALIN Sprint 8,A - Data and foundation,T01,,,SALIN-198,,,,Jeff Andre Millan
SALIN-215,T03,[T03] Downgrade missing context media from Error to Warning in the campaign validator,"Plan review R1/R2: split validator issues into identity errors (manifest, era/level/symbol ids and counts, order, DA/RA rule) that always block, and content-completeness issues (media, focus words, requirements, pools, rosters, final value, challenge sequence, reward ids) that are Warnings until a strict-mode switch (release profile) turns them into Errors at content-complete. Without this, Level 13 (empty content) blocks T07 behind the RA split. CampaignConfigValidator.ValidateMedia (lines 788-812) emits Error for null contextImage/narrationClip on every level, and CampaignSaveService refuses the campaign on any Error. Change to Warning, update RevisedCampaignAssetTests deferred-media exclusion, show warnings in CampaignConfigValidationMenu. Acceptance: Editor validate reports zero errors for Levels 1-5. Covers UF-01, Global Safe Saving, Audio Clues.

Audit id: T03. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none (SALIN-170 Done built the validator; no ticket for the Error/Warning split).",Task,Highest,save demo-required audit-2026-09 revised-backlog phase-a,SALIN-128,SALIN Sprint 8,A - Data and foundation,T01,,,SALIN-170,,,,Jeff Andre Millan
SALIN-216,T04,[T04] Make Levels 6-15 combat rosters equal their cumulative pools,"allowedCharacters on Levels 6-9 include untaught KA/HA/LA/NGA/PA/SA; Level 10 is [A]; Level 15 is [NGA]. Fix Level6-15_Config.asset so validator reports zero COMBAT_ROSTER_INVALID / CUMULATIVE_POOL_INVALID. Acceptance: Level 6 never asks a glyph outside A, E/I, BA, MA, NA, TA, GA, WA. Covers Game Overview Old syllables, Core Mechanics 6.0, Level Flow L6-L15.

Audit id: T04. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-172 (IP, parent of the 15 configs), SALIN-204 (IP, Ugat slice).",Bug,High,data demo-required audit-2026-09 revised-backlog phase-a,SALIN-128,SALIN Sprint 8,A - Data and foundation,,,,SALIN-172,,,,Jeff Andre Millan
SALIN-217,T05,[T05] Promote RA to a full 18th character,"Team ruling Q2 (2026-09-11): 18 characters, DA and RA separate. Code models 17 symbols with symbol.dara carrying two values and folds recognizer RA into DA. Update ContentIdentity symbol/value counts, CampaignConfigValidator symbol count and DARA rule, remove the BaybayinIdCanonicalizer RA fold, give Char_RA a stableId/value/firstIntroductionLevelId, add it to CampaignConfig symbols, fix Level 11/13 decompositions, correct the content matrix. Acceptance: validator passes with 18 symbols; Almanac shows Learned n/18; Dojo reports RA for an RA trace; HARAYA = HA RA YA with Char_RA. Covers Game Overview Character set, Character Mastery DA/RA, UF-40. Plan review R8/R9: RA introduction level is Level 13 / level.pamana.03 (ruling R8, 2026-09-11); Level 11 stays DA-only. Insert symbol.ra before symbol.pa in RevisedSymbolIds because the last id is treated as the finale symbol. Per ruling Q1 also change RevisedFinaleSymbolId/SpokenValueId and ValidateFinalRestoration (CampaignConfigValidator.cs:652-661) from PA to YA and set Level15 finalRestorationValue to YA; keep ValidatePaInstructionOrder. Update ApprovedWorkbookSha256 and manifest.sourceWorkbookSha256 when the matrix workbook is corrected to 18.

Audit id: T05. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-212 (Done, escalated the 17-vs-18 question), SALIN-170 (Done, criteria say 17 visual), SALIN-177 (Done, tests assert 17 visual).",Task,High,data demo-required audit-2026-09 revised-backlog phase-a,SALIN-128,SALIN Sprint 8,A - Data and foundation,T01,,,SALIN-212,SALIN-170,,,Chad Denard Andrada
SALIN-218,T06,[T06] Rename levels to spec titles and switch to era stage backgrounds,"Level names are legacy colonial titles; eraTheme uses EraTheme_Spanish/Japanese/American although StageBackground_Ugat/Ugnayan/Pamana exist; Levels 11-15 chapterNumber=1. Update all 15 Level*_Config.asset. Acceptance: Level 1 logs Applied theme Ugat; lock notice names Ang Unang Tinig. Covers Level Flow Level Title, UF-09, UF-10.

Audit id: T06. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-185 (Done, naming), SALIN-172 (IP).",Task,Medium,data demo-required audit-2026-09 revised-backlog phase-a,SALIN-127,SALIN Sprint 8,A - Data and foundation,,,,SALIN-185,,,,Jon Wayne Cabusbusan
SALIN-219,T07,[T07] Wire the revised campaign into SaveManager and boot in RevisedReady,"SaveManager._campaign is {fileID: 0} in Bootstrap.unity:423 and [Manager] SaveManager.prefab:47; no asset references CampaignConfig_RevisedV1, so atomic save, mastery, rewards and Reset Journey are dead at runtime. Assign the campaign. Acceptance: fresh install shows Start Journey; completing Level 1 writes campaign-save.json with level.ugat.02 unlocked; Settings shows Reset Journey; corrupted save shows Journey Save Recovered and Level 1 is playable. Covers UF-01/02/03/07, Global Safe Saving, Locked Content. Ruling 2026-09-11: existing PlayerPrefs progress is archived and a fresh journey starts with the migration notice; no carry-over.

Audit id: T07. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-140 (IP), SALIN-174 (Done), SALIN-171 (Done).",Story,Highest,save demo-required audit-2026-09 revised-backlog phase-a,SALIN-127,SALIN Sprint 8,A - Data and foundation,T02,T03,T04,SALIN-174,,,SALIN-140,Jeff Andre Millan
SALIN-220,T08,[T08] Persist per-objective completion flags and gate unlock on them,"Save records only completed/unlocked/stars. Add storyViewed, symbolsPracticed, wordsRestored, contextPassed, finalSyllableRestored to LevelProgressRecord and CampaignProgressOutcome; require them in CampaignOutcomeCoordinator.ApplyLevelProgression/VerifyPublishedOutcome. Acceptance: Level 1 completion writes all flags true; forcing one false keeps Level 2 locked with the missing objective named. Covers Completion Rules, Global Locked Content, Final Syllable Rule, UF-27, UF-30.

Audit id: T08. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-140 (IP: 'saved once as one versioned outcome').",Story,Highest,save demo-required audit-2026-09 revised-backlog phase-a,SALIN-127,SALIN Sprint 8,A - Data and foundation,T07,,,,,,SALIN-140,Jeff Andre Millan
SALIN-221,T09,[T09] Author spoken values and labels per the Q2 ruling,"E/I and O/U have one spoken value each; value.ra reuses DA.wav; FocusWordPreviewController and ActiveCluePresenter use symbol.syllable instead of SpokenValueResolver.ResolveLabel. Update Char_EI/OU/DA assets, validator value count, ContentIdentity, and both UI label paths. Acceptance: Level 9 preview reads O·O and U·NA; Level 11 DALA card says da. Covers Character Mastery E/I O/U DA/RA, Global Audio Clues, Level Flow L9/L11/L13.

Audit id: T09. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-157 (Done: 'audio and visible label follow the approved level context'), SALIN-155 (IP, RA convention).",Story,High,data language demo-required audit-2026-09 revised-backlog phase-a,SALIN-131,SALIN Sprint 8,A - Data and foundation,T01,,,SALIN-157,SALIN-155,,,Chad Denard Andrada
SALIN-222,T10,[T10] Apply challenge tiers 1-5 to level data,"ChallengeTierPolicy.ForTier encodes the spec difficulty pattern (supportive retries 1-2, heart penalties 3-5, emergency hint with 10% penalty at 5, combo powers by tier) but only Level 1 sets a tier. Set challengePolicy.tier = era-local order on all 15 Level*_Config.asset. Acceptance: Level 3 three wrong placements cost a heart; Level 5 hint works once then refuses and score drops 10. Covers Core Mechanics Level Difficulty Pattern, UF-19, UF-25.

Audit id: T10. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-181 (Done, tier engine), SALIN-172 (IP, config authoring).",Task,High,data demo-required audit-2026-09 revised-backlog phase-a,SALIN-128,SALIN Sprint 8,A - Data and foundation,T01,,,SALIN-172,,,,Jeff Andre Millan
SALIN-223,T11,[T11] Plan ContextChallenge and MemoryReward on every level and refuse completion when content is missing,"LevelPhasePlan skips the challenge when challengeSequence is null and the memory when rewardIds is empty, so Levels 6/7/8/10/13 complete on wave clear alone. Always plan both phases; missing content shows a panel and blocks unlock; the validator change is deferred to the strict-mode switch in T03 (plan review R2) so boot is not re-blocked before Levels 6-15 are authored. Acceptance: clearing Level 2 with its challengeSequence removed shows content missing and Level 3 stays locked. Covers Core Mechanics Victory, UF-23, UF-33, Global Locked Content.

Audit id: T11. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-178 (Done: 'Defense systems … cannot mark a level complete').",Bug,Highest,flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,SALIN Sprint 8,B - Core loop,T07,,,SALIN-178,,,,Jeff Andre Millan
SALIN-224,T12,[T12] Make learning cards show only the level's new symbols,"Every level's learningRequirements lists the whole cumulative pool as Instruction (Level 15 = 17 cards; retry replays all). Author Instruction only for symbols whose firstIntroductionLevelId is this level; review symbols become Practice. Acceptance: Level 2 shows BA and TA cards only; Level 3 shows none. Covers UF-14, Completion Rules Symbols practiced. Plan review R3: keep review symbols in learningRequirements as Practice kind so the list stays non-empty (validator rejects an empty list) while SymbolLearningCardController presents Instruction cards only.

Audit id: T12. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-133 (Done: 'only the required new syllables … are introduced').",Bug,High,data demo-required audit-2026-09 revised-backlog phase-b,SALIN-128,SALIN Sprint 8,B - Core loop,,,,SALIN-133,,,,Chad Denard Andrada
SALIN-228,T13,[T13] Build the Required Practice phase (in-level guided tracing),"RequiredPractice is a stub (LevelFlowController.cs:259-262). Build ExecuteRequiredPractice + RequiredPracticeController reusing Level1TutorialGuideUI / ChallengeSession GuidedTracing; per-level accuracy threshold; Check, Reset, Show Guide, attempt counter; no heart loss; record Form evidence. Acceptance: Level 1 requires I, NA, A, MA to pass before combat; weak trace highlights missed section and retries; retry after defeat skips passed symbols. Covers UF-15, BTN-CHECK, BTN-RESET, Core Mechanics 5.0, Completion Rules Symbols practiced.

Audit id: T13. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-178 (Done, nine-phase flow), SALIN-134 (Done: 'trace each required character before using it in defense').",Story,Highest,flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T07,,,SALIN-178,SALIN-134,,,Jeff Andre Millan
SALIN-229,T14,[T14] Add the final-syllable trace-and-place step to restoration,"finalRestorationValue is authored but never read at runtime. Add a trailing unit to the context challenge that requires tracing the level's final syllable into its word with a focus moment; write the finalSyllableRestored flag. Acceptance: Level 1 shows AMA with last slot empty; tracing NA is rejected, MA accepted, memory plays, flag true; step cannot be skipped. Covers Global Final Syllable Rule, Completion Rules Last syllable, UF-27, UF-37, BTN-FINAL.

Audit id: T14. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-198 (Done), SALIN-181 (Done).",Story,Highest,flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T01,T08,T13,SALIN-181,,,,Jeff Andre Millan
SALIN-230,T15,[T15] Set per-level combat mode and clue channels,"Reframed by ruling Q15 (2026-09-11): the combat design only requires defeating the enemy by tracing the correct symbol, which the legacy path already does. Decide per level whether active-clue mode is on and author clueChannels as the difficulty ladder (Roman+outline, image+sound, audio-only, incomplete word); verify ActiveCluePresenter renders each channel. Acceptance: each level plays in its chosen mode; audio-only clues always have a replay button and a Latin fallback. Covers Core Mechanics Level Difficulty Pattern, UF-17, UF-18.

Audit id: T15. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-180 (Done, engine), SALIN-182 (IP, combat variety incl. lanes/powers).",Story,High,combat demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T04,,,SALIN-182,,,,Chad Denard Andrada
SALIN-231,T16,[T16] Replace the free hint with the spec's hint modal and penalties,"ChallengeSession.RequestHint reveals the exact answer with no cost, confirmation, limit or exhausted state. Build a hint modal with types (meaning, replay, first symbol, slot glow), cost shown before use, confirm/cancel, penalty recorded in LevelResults, No Hints Left with review routing. Acceptance: modal appears with costs; cancel is a no-op; results show the penalty; exhausted state offers review. Covers UF-25, BTN-HINT, Global Hints.

Audit id: T16. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-181 (Done, emergency hint), SALIN-163 (IP, hint after failures).",Story,High,ui demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T10,,,SALIN-163,,,,Jeff Andre Millan
SALIN-232,T17,[T17] Add the Wave Cleared screen,"Flow jumps from last enemy to challenge. Add WaveClearedScreenUI with banner, hearts remaining, combat accuracy and Restore the Memory button; LevelFlowController awaits it before ContextChallenge. Acceptance: Level 1 wave 5 clear shows the banner and nothing advances until the button is tapped. Covers UF-23, Core Mechanics Victory.

Audit id: T17. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none.",Story,High,ui demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T11,,,,,,,Jeff Andre Millan
